dt,waterlevel,temperature,vibration,kwh,Predicted_kwh
2024-11-01 00:00:00,52.48357077,29.85113477,10.49105634,0.0,
2024-11-01 00:05:00,49.30867849,22.6887256,11.11711631,0.0,-6.123030987921194e-05
2024-11-01 00:10:00,53.23844269,28.43008459,11.18137609,0.0,4.5587941125767537e-05
2024-11-01 00:15:00,57.61514928,25.55457596,7.1820314,0.0,-2.3657039576304613e-05
2024-11-01 00:20:00,48.82923313,25.75658456,11.64817316,0.0,-0.0001289027526573128
2024-11-01 00:25:00,48.82931522,19.08907426,10.60630766,0.0,1.4919502050893614e-05
2024-11-01 00:30:00,57.89606408,18.39125994,8.729477231,0.0,7.91598212874449e-05
2024-11-01 00:35:00,53.83717365,24.33830218,8.500666098,0.0,0.00011434457230942789
2024-11-01 00:40:00,47.65262807,25.74071819,9.331893836,0.0,-1.5798494898348173e-05
2024-11-01 00:45:00,52.71280022,21.62440652,7.402516627,0.0,-2.8421573532286334e-05
2024-11-01 00:50:00,47.68291154,21.73391977,13.44453478,0.0,5.6660169511534915e-06
2024-11-01 00:55:00,47.67135123,26.68441789,12.97230265,0.0,-8.128719527262962e-06
2024-11-01 01:00:00,51.20981136,26.68856344,10.9034004,0.0,-1.6123684431056026e-06
2024-11-01 01:05:00,40.43359878,24.58677682,9.553203167,0.0,2.8702536395359787e-06
2024-11-01 01:10:00,41.37541084,27.34060516,9.605784024,0.0,-9.008022198657529e-05
2024-11-01 01:15:00,47.18856235,21.47739311,11.51613141,0.0,-0.00010336670066502947
2024-11-01 01:20:00,44.9358444,23.93219525,13.5156538,0.0,3.5080331980580466e-05
2024-11-01 01:25:00,51.57123666,29.94363282,8.859206521,0.0,-3.086773123087874e-05
2024-11-01 01:30:00,45.45987962,25.20496639,7.764827915,0.0,-0.00012420891996619944
2024-11-01 01:35:00,42.93848149,25.37893754,13.09528155,0.0,-9.773834406982689e-05
2024-11-01 01:40:00,57.32824384,31.91783976,6.425722825,0.0,-4.059117877511354e-05
2024-11-01 01:45:00,48.8711185,20.8019735,7.982938383,0.0,-0.00038294914456938093
2024-11-01 01:50:00,50.33764102,27.3892911,9.506284215,0.0,2.67816279673134e-05
2024-11-01 01:55:00,42.87625907,29.99195884,6.879133064,0.0,-4.2372638518089896e-05
2024-11-01 02:00:00,47.27808638,24.02542622,12.22429813,0.0,-0.00028052469945090755
2024-11-01 02:05:00,50.55461295,27.57889236,11.71381054,0.0,1.490883964142669e-05
2024-11-01 02:10:00,44.24503211,22.05394151,8.850413546,0.0,-2.48975634672679e-08
2024-11-01 02:15:00,51.87849009,22.93980281,12.55922824,0.0,-2.023513185115531e-05
2024-11-01 02:20:00,46.99680655,26.15489925,12.89858486,0.0,3.60052820458028e-05
2024-11-01 02:25:00,48.54153125,27.39570002,9.773658703,0.0,-2.4471625329924284e-06
2024-11-01 02:30:00,46.99146694,28.36280954,9.098663645,0.0,-3.7899004120915195e-05
2024-11-01 02:35:00,59.26139092,29.70888576,14.51920406,0.0,-8.609443469061237e-05
2024-11-01 02:40:00,49.93251388,24.79766032,11.44232364,0.0,-0.00010750120345219597
2024-11-01 02:45:00,44.71144536,28.58083527,10.51264931,0.0,2.765025148200104e-05
2024-11-01 02:50:00,54.11272456,23.97308547,12.72709189,0.0,-5.544324527293886e-05
2024-11-01 02:55:00,43.89578175,27.70627393,10.60386127,0.0,2.4586623044593726e-05
2024-11-01 03:00:00,51.04431798,25.62246639,8.988758828,0.0,-5.0246911645613376e-05
2024-11-01 03:05:00,40.20164938,26.33703372,10.16031952,0.0,-2.5035895669671243e-05
2024-11-01 03:10:00,43.35906976,26.27052362,12.07730857,0.0,-9.428885922281025e-05
2024-11-01 03:15:00,50.98430618,20.18588497,6.015628867,0.0,-2.8699186947359703e-05
2024-11-01 03:20:00,53.6923329,21.62763442,9.423938521,0.0,-2.9785329197585933e-05
2024-11-01 03:25:00,50.85684141,25.30762432,12.7661148,0.0,6.397872734774498e-05
2024-11-01 03:30:00,49.42175859,19.93816276,8.976263198,0.0,1.6644077002001928e-05
2024-11-01 03:35:00,48.49448152,27.49363331,13.09221712,0.0,6.942590671820985e-05
2024-11-01 03:40:00,42.60739005,27.6146679,12.82948764,0.0,-3.3386181182139554e-06
2024-11-01 03:45:00,46.40077896,25.98151166,9.868941769,0.0,-4.096263255832251e-05
2024-11-01 03:50:00,47.69680615,21.63659796,8.86292139,0.0,-2.5575659214884277e-05
2024-11-01 03:55:00,55.28561113,29.14041682,9.425282252,0.0,2.532334808824485e-05
2024-11-01 04:00:00,51.71809145,31.11163192,15.32922898,0.0,-9.84346943090437e-05
2024-11-01 04:05:00,41.18479922,25.44123048,13.74884889,0.0,-5.7342103168318046e-05
2024-11-01 04:10:00,51.62041985,26.53160614,10.25078194,0.0,-7.538412811728707e-05
2024-11-01 04:15:00,48.0745886,25.60521596,8.783692897,0.0,-6.314546842152486e-06
2024-11-01 04:20:00,46.61539,26.59110757,10.23408207,0.0,-4.212140200601716e-05
2024-11-01 04:25:00,53.05838144,24.64132373,10.48765385,0.0,-2.3483817290567094e-05
2024-11-01 04:30:00,55.15499761,24.89630728,7.513282525,0.0,2.7081124442653963e-05
2024-11-01 04:35:00,54.6564006,27.7171528,10.16008254,0.0,-7.664103639138409e-05
2024-11-01 04:40:00,45.80391238,32.03687249,12.64480865,0.0,-3.923320090761408e-05
2024-11-01 04:45:00,48.45393812,20.7997863,6.401286638,0.0,-4.3148593971441965e-05
2024-11-01 04:50:00,51.65631716,24.68856255,11.65316793,0.0,-4.184370485474379e-05
2024-11-01 04:55:00,54.87772564,21.45861854,12.74959594,0.0,3.194223414930468e-05
2024-11-01 05:00:00,47.60412881,29.7760747,8.87888531,0.0,4.120398819879501e-05
2024-11-01 05:05:00,49.07170512,23.23678609,13.38835152,0.0,-0.00012126285715359496
2024-11-01 05:10:00,44.46832513,20.67039762,8.619325875,0.0,4.170286056634039e-06
2024-11-01 05:15:00,44.01896688,26.914561,10.88216532,0.0,-3.344744816847437e-06
2024-11-01 05:20:00,54.06262911,30.23293334,9.386454631,0.0,-3.584467601419892e-05
2024-11-01 05:25:00,56.78120014,26.99079361,9.386007286,0.0,-0.00011763830782444077
2024-11-01 05:30:00,49.63994939,25.61439363,8.76540186,0.0,-6.100182170147309e-05
2024-11-01 05:35:00,55.01766449,26.22742277,11.39715096,0.0,-3.6029677192070056e-05
2024-11-01 05:40:00,51.80818013,29.24452199,11.69761092,0.0,4.4142375193065966e-06
2024-11-01 05:45:00,46.77440123,22.37740219,9.871155601,0.0,-2.329820204722928e-05
2024-11-01 05:50:00,51.80697803,24.66445869,7.280063573,0.0,2.3572800959102578e-05
2024-11-01 05:55:00,57.69018283,23.64192955,10.80634033,0.0,-7.67302433564529e-05
2024-11-01 06:00:00,49.8208698,21.49640408,10.84402872,0.0,2.6915494239049964e-05
2024-11-01 06:05:00,57.82321828,24.01487422,9.566569977,0.005197071,6.131787003234739e-05
2024-11-01 06:10:00,36.90127448,28.32316329,13.73446257,0.010391984,0.005712706414078219
2024-11-01 06:15:00,54.10951252,26.69980645,6.87214147,0.012136385,0.010991620011956096
2024-11-01 06:20:00,50.43523534,26.9329315,5.565432579,0.016400013,0.013060061352765513
2024-11-01 06:25:00,48.50496325,25.43942683,8.538330201,0.022639208,0.017444178849283114
2024-11-01 06:30:00,50.45880388,26.56997135,11.42084907,0.02588916,0.024355052928101733
2024-11-01 06:35:00,40.06215543,22.59822897,7.888310725,0.026933152,0.02813458791511567
2024-11-01 06:40:00,48.90164056,24.07147034,8.038058163,0.036958058,0.028308894975412145
2024-11-01 06:45:00,51.78556286,25.57601271,11.90204267,0.036429273,0.03956076084467159
2024-11-01 06:50:00,57.38947022,25.83254758,10.92509585,0.04594955,0.03953938511412814
2024-11-01 06:55:00,47.40864891,25.96056356,10.75412182,0.045325398,0.050088956590453294
2024-11-01 07:00:00,45.95753199,24.58499415,11.56285784,0.05590926,0.04860444550937212
2024-11-01 07:05:00,47.49121478,23.8677298,9.149614093,0.059722216,0.05953569328420249
2024-11-01 07:10:00,54.57701059,34.47331385,9.242031852,0.060353164,0.0633955864412621
2024-11-01 07:15:00,51.64375555,27.72036182,11.61955855,0.069552814,0.06529840874329418
2024-11-01 07:20:00,47.35119898,26.23944243,7.310226438,0.067335987,0.07463740575289357
2024-11-01 07:25:00,52.56633717,24.30037451,5.714560307,0.061357521,0.0711093419626089
2024-11-01 07:30:00,50.48538775,23.64634352,9.133431653,0.066804473,0.06515975767344123
2024-11-01 07:35:00,54.84322495,24.60759822,11.86174658,0.072365304,0.07106813392716044
2024-11-01 07:40:00,46.48973453,25.87848653,10.5111194,0.069756658,0.07774367846905178
2024-11-01 07:45:00,48.36168927,19.35869337,11.71458301,0.09593706,0.07392053456226293
2024-11-01 07:50:00,48.03945923,20.29183121,5.967411379,0.087451132,0.10005032332812912
2024-11-01 07:55:00,42.68242526,23.08935283,10.63099362,0.080556895,0.0908121777512191
2024-11-01 08:00:00,51.48060139,25.62141831,11.30772901,0.112798325,0.08407551069585002
2024-11-01 08:05:00,51.30527636,24.28218056,7.298405155,0.111376646,0.11803330420775271
2024-11-01 08:10:00,50.02556728,29.43436368,11.72411518,0.10540633,0.11568639690570563
2024-11-01 08:15:00,48.82706433,20.55280964,9.776962207,0.099888209,0.11097184609233952
2024-11-01 08:20:00,42.92314629,22.74596359,16.1426734,0.098735259,0.10396918106096828
2024-11-01 08:25:00,47.89677339,29.56027522,5.645527862,0.11629283,0.10250952913635063
2024-11-01 08:30:00,48.28642742,25.39335797,12.73822874,0.140514106,0.11985753327553862
2024-11-01 08:35:00,45.98861365,27.65452775,9.211683807,0.10958144,0.1438687488424886
2024-11-01 08:40:00,49.19357144,31.15374083,6.765696571,0.132088186,0.11365487005460165
2024-11-01 08:45:00,52.02025428,22.91858675,8.946089713,0.156222021,0.1356694001751375
2024-11-01 08:50:00,59.43092951,24.70205699,10.55495848,0.142528811,0.15804151200504524
2024-11-01 08:55:00,50.87288906,24.1827193,12.07493334,0.134981397,0.14793666147726203
2024-11-01 09:00:00,51.28775195,19.13622099,13.44392858,0.15366126,0.13904981672483407
2024-11-01 09:05:00,49.62777042,24.06880959,12.84378618,0.163229864,0.15552791473404695
2024-11-01 09:10:00,40.40614392,27.64318656,8.069235959,0.152794317,0.1646085165680113
2024-11-01 09:15:00,49.86743062,26.62176863,12.26032938,0.172732631,0.15230121194515622
2024-11-01 09:20:00,50.30115105,26.85724951,10.78256991,0.154103124,0.17342988005863072
2024-11-01 09:25:00,62.31621056,23.87347306,8.690793958,0.176567656,0.1567526229781469
2024-11-01 09:30:00,49.03819518,23.03170829,9.576178813,0.187359546,0.1789266475601437
2024-11-01 09:35:00,51.50773671,28.80776702,8.580314681,0.161369144,0.18439703391602194
2024-11-01 09:40:00,49.82644115,23.50804856,10.07418468,0.170711398,0.1633883528549578
2024-11-01 09:45:00,44.15660981,25.88224612,8.540684235,0.173575437,0.1706243752682739
2024-11-01 09:50:00,55.71411407,25.49000404,7.944011854,0.18766707,0.17146412743438696
2024-11-01 09:55:00,53.75966516,29.38515105,10.95823826,0.193070961,0.1867460991557672
2024-11-01 10:00:00,53.95515974,27.91423707,11.2574611,0.140450567,0.19223257715302397
2024-11-01 10:05:00,45.45306273,21.11422414,9.624806,0.191712757,0.1453445066994629
2024-11-01 10:10:00,57.01397155,21.4373405,12.73530261,0.197541942,0.18643284091507697
2024-11-01 10:15:00,42.99074469,26.73672945,9.479138827,0.193755324,0.19563948917618038
2024-11-01 10:20:00,52.93428547,24.80698706,9.39445091,0.196755481,0.1884485833808323
2024-11-01 10:25:00,60.95227813,23.63448465,11.32097796,0.149481558,0.19377788920057487
2024-11-01 10:30:00,45.04731837,28.04688365,9.73514883,0.180491963,0.1547227181530611
2024-11-01 10:35:00,47.16851135,25.56237815,10.16959546,0.210125249,0.1783436471071803
2024-11-01 10:40:00,50.49825683,25.15737216,5.0,0.220565189,0.2030605511743713
2024-11-01 10:45:00,47.48262173,27.33948592,10.03341477,0.168892028,0.21064781724825693
2024-11-01 10:50:00,42.24668284,23.87467302,6.345608125,0.196785755,0.16903992023161482
2024-11-01 10:55:00,50.34281487,29.70555696,7.558098858,0.215383747,0.1891611172595994
2024-11-01 11:00:00,44.68848143,22.63585713,7.329354922,0.21268973,0.20835878840765124
2024-11-01 11:05:00,52.36796215,26.9707872,7.914833693,0.203507052,0.20274470626663887
2024-11-01 11:10:00,45.40287883,29.30149852,8.902292281,0.157667212,0.19913274728922045
2024-11-01 11:15:00,57.74967203,20.86811353,9.027014769,0.213723771,0.1585384807696439
2024-11-01 11:20:00,46.08373354,23.96999447,11.32855041,0.218488857,0.20806429422125053
2024-11-01 11:25:00,48.38969242,28.42662218,10.44477563,0.215292772,0.20915773983119268
2024-11-01 11:30:00,54.06758609,28.47173364,6.197851142,0.219371782,0.2082395301951257
2024-11-01 11:35:00,43.84567842,24.4855132,10.16658928,0.193317309,0.21205182010402202
