timestamp,waterlevel,temperature,vibration,kwh
11/1/2024 0:00,52.48357077,29.85113477,10.49105634,0
11/1/2024 0:05,49.30867849,22.6887256,11.11711631,0
11/1/2024 0:10,53.23844269,28.43008459,11.18137609,0
11/1/2024 0:15,57.61514928,25.55457596,7.1820314,0
11/1/2024 0:20,48.82923313,25.75658456,11.64817316,0
11/1/2024 0:25,48.82931522,19.08907426,10.60630766,0
11/1/2024 0:30,57.89606408,18.39125994,8.729477231,0
11/1/2024 0:35,53.83717365,24.33830218,8.500666098,0
11/1/2024 0:40,47.65262807,25.74071819,9.331893836,0
11/1/2024 0:45,52.71280022,21.62440652,7.402516627,0
11/1/2024 0:50,47.68291154,21.73391977,13.44453478,0
11/1/2024 0:55,47.67135123,26.68441789,12.97230265,0
11/1/2024 1:00,51.20981136,26.68856344,10.9034004,0
11/1/2024 1:05,40.43359878,24.58677682,9.553203167,0
11/1/2024 1:10,41.37541084,27.34060516,9.605784024,0
11/1/2024 1:15,47.18856235,21.47739311,11.51613141,0
11/1/2024 1:20,44.9358444,23.93219525,13.5156538,0
11/1/2024 1:25,51.57123666,29.94363282,8.859206521,0
11/1/2024 1:30,45.45987962,25.20496639,7.764827915,0
11/1/2024 1:35,42.93848149,25.37893754,13.09528155,0
11/1/2024 1:40,57.32824384,31.91783976,6.425722825,0
11/1/2024 1:45,48.8711185,20.8019735,7.982938383,0
11/1/2024 1:50,50.33764102,27.3892911,9.506284215,0
11/1/2024 1:55,42.87625907,29.99195884,6.879133064,0
11/1/2024 2:00,47.27808638,24.02542622,12.22429813,0
11/1/2024 2:05,50.55461295,27.57889236,11.71381054,0
11/1/2024 2:10,44.24503211,22.05394151,8.850413546,0
11/1/2024 2:15,51.87849009,22.93980281,12.55922824,0
11/1/2024 2:20,46.99680655,26.15489925,12.89858486,0
11/1/2024 2:25,48.54153125,27.39570002,9.773658703,0
11/1/2024 2:30,46.99146694,28.36280954,9.098663645,0
11/1/2024 2:35,59.26139092,29.70888576,14.51920406,0
11/1/2024 2:40,49.93251388,24.79766032,11.44232364,0
11/1/2024 2:45,44.71144536,28.58083527,10.51264931,0
11/1/2024 2:50,54.11272456,23.97308547,12.72709189,0
11/1/2024 2:55,43.89578175,27.70627393,10.60386127,0
11/1/2024 3:00,51.04431798,25.62246639,8.988758828,0
11/1/2024 3:05,40.20164938,26.33703372,10.16031952,0
11/1/2024 3:10,43.35906976,26.27052362,12.07730857,0
11/1/2024 3:15,50.98430618,20.18588497,6.015628867,0
11/1/2024 3:20,53.6923329,21.62763442,9.423938521,0
11/1/2024 3:25,50.85684141,25.30762432,12.7661148,0
